X,Y,Y'
66.8,-128.598,277.427
66.9,-100.856,323.418
67,-68.5139,357.392
67.1,-32.7747,377.75
67.2,5.0003,383.405
67.3,43.3408,373.836
67.4,80.7244,349.123
67.5,115.637,309.951
67.6,146.632,257.597
67.7,172.392,193.893
67.8,191.781,121.158
67.9,203.897,42.1227
68,208.109,-40.1784
68.1,204.091,-122.518
68.2,191.839,-201.604
68.3,171.679,-274.208
68.4,144.258,-337.295
68.5,110.528,-388.153
68.6,71.7132,-424.501
68.7,29.2631,-444.596
68.8,-15.1966,-447.31
68.9,-59.9275,-432.185
69,-103.146,-399.47
69.1,-143.093,-350.122
69.2,-178.105,-285.783
69.3,-206.683,-208.725
69.4,-227.556,-121.777
69.5,-239.734,-28.2191
69.6,-242.556,68.3388
69.7,-235.722,164.094
69.8,-219.312,255.201
69.9,-193.792,337.922
70,-160,408.78
70.1,-119.122,464.705
70.2,-72.6515,503.159
70.3,-22.3355,522.257
70.4,29.8902,520.846
70.5,81.9748,498.573
70.6,131.832,455.912
70.7,177.423,394.161
70.8,216.839,315.408
70.9,248.38,222.464
71,270.626,118.763
71.1,282.503,8.23701
71.2,283.326,-104.829
71.3,272.844,-215.963
71.4,251.247,-320.681
71.5,219.179,-414.666
71.6,177.713,-493.945
71.7,128.318,-555.051
71.8,72.813,-595.177
71.9,13.2953,-612.299
72,-47.9346,-605.271
72.1,-108.462,-573.892
72.2,-165.851,-518.929
72.3,-217.744,-442.11
72.4,-261.955,-346.071
72.5,-296.562,-234.267
72.6,-319.989,-110.857
72.7,-331.074,19.4554
72.8,-329.129,151.596
72.9,-313.969,280.316
73,-285.938,400.397
73.1,-245.898,506.864
73.2,-195.211,595.186
73.3,-135.693,661.467
73.4,-69.5462,702.614
73.5,0.715231,716.481
73.6,72.3633,701.965
73.7,142.56,659.08
73.8,208.468,588.975
73.9,267.365,493.908
74,316.756,377.184
74.1,354.475,243.038
74.2,378.778,96.4872
74.3,388.427,-56.8539
74.4,382.742,-210.988
74.5,361.643,-359.764
74.6,325.666,-497.126
74.7,275.954,-617.35
74.8,214.219,-715.285
74.9,142.69,-786.567
75,64.0336,-827.811
75.1,-18.7476,-836.769
75.2,-102.424,-812.434
75.3,-183.668,-755.116
75.4,-259.179,-666.446
75.5,-325.824,-549.346
75.6,-380.759,-407.929
75.7,-421.552,-247.367
75.8,-446.288,-73.6991
75.9,-453.658,106.39
76,-443.019,285.826
76.1,-414.437,457.417
76.2,-368.695,614.143
76.3,-307.281,749.438
76.4,-232.337,857.462
76.5,-146.591,933.347
76.6,-53.2559,973.416
76.7,44.0857,975.35
76.8,141.621,938.309
76.9,235.452,862.995
77,321.751,751.654
77.1,396.917,608.021
77.2,457.719,437.194
77.3,501.438,245.462
77.4,525.984,40.0778
77.5,529.992,-171.017
77.6,512.89,-379.494
77.7,474.941,-576.96
77.8,417.245,-755.297
77.9,341.715,-906.989
78,251.016,-1025.44
78.1,148.473,-1105.23
78.2,37.9493,-1142.42
78.3,-76.2925,-1134.65
78.4,-189.757,-1081.34
